"Supply and disposition of milk products in Canada 1 2"
"Frequency: Monthly"
"Table: 32-10-0109-01 (formerly CANSIM 003-0007)"
"Release date: 2023-09-26"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,
"Years","Creamery butter",,"Other cheese (whole milk and cream)",,"Concentrated whole milk",,"Sweetened concentrated milk",
"May 2011","22,501","","47,995","","3,700","","","x"
"June 2011","23,197","","50,502","","3,440","","","x"
"July 2011","22,773","","48,595","","3,307","","","x"
"August 2011","24,208","","49,912","","3,539","","","x"
"September 2011","22,443","","49,585","","2,948","","","x"
"October 2011","21,352","","48,789","","3,271","","","x"
"November 2011","19,676","","49,015","","3,310","","","x"
"December 2011","17,881","","49,307","","3,441","","","x"
"January 2012","19,055","","38,728","","3,895","","","x"
"February 2012","21,262","","43,894","","3,742","","","x"
"March 2012","23,140","","45,586","","3,553","","","x"
"April 2012","25,964","","44,391","","3,818","","","x"
"May 2012","27,565","","46,205","","4,100","","","x"
"June 2012","26,656","","44,918","","3,751","","","x"
"July 2012","23,972","","45,858","","3,429","","","x"
"August 2012","23,831","","47,712","","3,096","","","x"
"September 2012","25,599","","48,725","","2,518","","","x"
"October 2012","25,751","","53,249","","2,996","","","x"
"November 2012","24,826","","51,553","","3,078","","","x"
"December 2012","24,175","","48,454","","3,328","","","x"
"January 2013","25,037","","40,074","","3,638","","","x"
"February 2013","27,086","","47,913","","2,780","","","x"
"March 2013","27,748","","48,190","","3,576","","","x"
"April 2013","28,820","","50,964","","3,282","","","x"
"May 2013","28,576","","49,338","","2,833","","","x"
"June 2013","29,120","","51,093","","3,281","","","x"
"July 2013","28,041","","49,639","","3,641","","","x"
"August 2013","26,603","","49,633","","2,814","","","x"
"September 2013","25,797","","52,512","","2,814","","","x"
"October 2013","25,407","","53,328","","3,151","","","x"
"November 2013","22,423","","50,964","","2,910","","","x"
"December 2013","21,681","","50,153","","3,144","","","x"
"January 2014","22,500","","51,292","","2,540","","","x"
"February 2014","22,672","","50,120","","2,012","","","x"
"March 2014","24,527","","50,396","","","x","","x"
"April 2014","24,691","","50,263","","","x","","x"
"May 2014","24,589","","49,530","","2,197","","","x"
"June 2014","26,502","","49,498","","","x","","x"
"July 2014","26,072","","52,636","","","x","","x"
"August 2014","23,762","","51,757","","","x","","x"
"September 2014","23,768","","52,667","","","x","","x"
"October 2014","21,258","","53,050","","","x","","x"
"November 2014","20,147","","56,037","","","x","","x"
"December 2014","18,395","","53,344","","","x","","x"
"January 2015","17,732","","54,192","","","x","","x"
"February 2015","18,900","","55,407","","","x","","x"
"March 2015","18,088","","57,105","","","x","","x"
"April 2015","16,178","","50,282","","","x","","x"
"May 2015","16,299","","49,456","","","x","","x"
"June 2015","16,277","","50,513","","","x","","x"
"July 2015","16,687","","52,298","","","x","","x"
"August 2015","21,706","","51,963","","","x","","x"
"September 2015","22,679","","60,835","","","x","","x"
"October 2015","21,240","","62,825","","","x","","x"
"November 2015","20,370","","61,903","","","x","","x"
"December 2015","22,172","","59,968","","","x","","x"
"January 2016","20,923","","61,075","","","x","","x"
"February 2016","24,112","","59,546","","","x","","x"
"March 2016","23,785","","63,469","","","x","","x"
"April 2016","26,052","","62,656","","","x","","x"
"May 2016","27,751","","58,851","","","x","","x"
"June 2016","27,923","","58,968","","","x","","x"
"July 2016","28,901","","60,151","","","x","","x"
