Milk production and utilization c 1,,,
Frequency: Monthly,,,
Table: 32-10-0113-01 (formerly CANSIM 003-0011),,,
Release date: 2023-09-26,,,
"Geography: Canada, Province or territory",,,
,,,
,,,
,,,
Geography,Canada,,
,,,
,,,
Reference period,Total milk sold,Fluid purposes,Industrial purposes
Oct-06,"612,929","257,370","355,559"
Nov-06,"597,868","253,234","344,634"
Dec-06,"627,493","258,790","368,703"
Jan-07,"635,204","255,424","379,780"
Feb-07,"571,520","232,447","339,073"
Mar-07,"635,338","255,876","379,462"
Apr-07,"626,525","241,156","385,370"
May-07,"658,945","251,187","407,758"
Jun-07,"640,858","240,205","400,653"
Jul-07,"653,504","237,935","415,569"
Aug-07,"646,987","256,546","390,441"
Sep-07,"618,472","236,593","381,879"
Oct-07,"633,545","267,043","366,502"
Nov-07,"618,673","258,134","360,540"
Dec-07,"647,391","257,471","389,920"
Jan-08,"659,566","254,068","405,499"
Feb-08,"617,224","245,833","371,390"
Mar-08,"656,048","251,630","404,418"
Apr-08,"636,256","249,773","386,483"
May-08,"655,982","255,943","400,039"
Jun-08,"628,102","238,847","389,256"
Jul-08,"634,820","242,740","392,080"
Aug-08,"627,469","248,667","378,802"
Sep-08,"604,720","249,647","355,073"
Oct-08,"620,364","264,889","355,475"
Nov-08,"607,060","250,094","356,967"
Dec-08,"637,351","265,748","371,603"
Jan-09,"645,482","256,068","389,414"
Feb-09,"587,891","233,555","354,336"
Mar-09,"653,421","253,096","400,325"
Apr-09,"637,310","250,884","386,427"
May-09,"661,109","252,535","408,575"
Jun-09,"640,120","245,020","395,100"
Jul-09,"651,895","247,759","404,135"
Aug-09,"642,956","243,772","399,184"
Sep-09,"624,689","249,449","375,240"
Oct-09,"636,799","259,278","377,520"
Nov-09,"622,529","250,035","372,494"
Dec-09,"649,021","266,970","382,051"
Jan-10,"657,474","250,311","407,162"
Feb-10,"595,253","234,598","360,655"
Mar-10,"658,897","263,004","395,893"
Apr-10,"641,358","250,898","390,460"
May-10,"662,492","249,994","412,498"
Jun-10,"635,898","242,634","393,264"
Jul-10,"641,278","242,756","398,522"
Aug-10,"648,002","246,162","401,840"
Sep-10,"622,732","255,327","367,405"
Oct-10,"636,315","259,102","377,213"
Nov-10,"620,455","256,277","364,178"
Dec-10,"645,864","266,494","379,370"
Jan-11,"654,562","247,947","406,615"
Feb-11,"595,777","232,655","363,122"
Mar-11,"660,707","255,676","405,030"
Apr-11,"641,074","246,962","394,112"
May-11,"666,633","247,858","418,775"
Jun-11,"647,145","241,223","405,922"
Jul-11,"660,564","234,109","426,455"
Aug-11,"660,022","249,450","410,572"
Sep-11,"634,338","248,891","385,448"
Oct-11,"647,277","253,281","393,996"
Nov-11,"631,184","257,218","373,965"
Dec-11,"665,048","258,524","406,524"
Jan-12,"677,867","248,615","429,252"
Feb-12,"638,411","234,691","403,721"
Mar-12,"682,368","253,763","428,605"
Apr-12,"660,423","239,820","420,603"
May-12,"681,284","250,021","431,263"
Jun-12,"654,897","237,981","416,916"
Jul-12,"668,852","231,453","437,400"
Aug-12,"668,395","245,892","422,503"
Sep-12,"644,880","241,020","403,861"
Oct-12,"664,413","254,155","410,257"
Nov-12,"647,910","249,637","398,273"
Dec-12,"674,730","252,497","422,232"
Jan-13,"676,733","246,045","430,688"
Feb-13,"611,131","226,566","384,565"
Mar-13,"673,937","243,562","430,375"
Apr-13,"650,343","241,392","408,951"
May-13,"670,772","245,177","425,595"
Jun-13,"643,151","231,509","411,642"
Jul-13,"650,508","230,820","419,689"
Aug-13,"660,770","242,848","417,922"
Sep-13,"635,911","233,323","402,588"
Oct-13,"654,027","253,763","400,264"
Nov-13,"629,894","247,129","382,766"
Dec-13,"649,594","252,759","396,835"
Jan-14,"654,797","246,753","408,044"
Feb-14,"594,501","224,586","369,915"
Mar-14,"656,299","240,205","416,094"
Apr-14,"639,068","239,632","399,436"
May-14,"664,041","242,024","422,016"
Jun-14,"647,366","227,323","420,043"
Jul-14,"666,035","228,400","437,634"
Aug-14,"669,194","234,169","435,025"
Sep-14,"650,558","237,869","412,689"
Oct-14,"663,106","251,039","412,067"
Nov-14,"640,706","235,708","404,998"
Dec-14,"666,669","247,114","419,556"
Jan-15,"674,114","235,934","438,181"
Feb-15,"612,398","220,533","391,866"
Mar-15,"688,090","243,132","444,957"
Apr-15,"676,218","234,079","442,139"
May-15,"708,672","234,585","474,087"
Jun-15,"687,793","233,503","454,290"
Jul-15,"702,025","230,336","471,689"
Aug-15,"694,270","229,171","465,099"
Sep-15,"667,289","234,000","433,288"
Oct-15,"684,176","249,031","435,145"
Nov-15,"665,876","239,125","426,752"
Dec-15,"699,147","253,139","446,009"
Jan-16,"710,978","233,925","477,053"
Feb-16,"670,355","229,911","440,444"
Mar-16,"716,555","242,939","473,616"
Apr-16,"694,262","233,622","460,640"
May-16,"720,165","235,258","484,907"
Jun-16,"693,913","230,158","463,755"
Jul-16,"709,891","225,562","484,329"
Aug-16,"710,262","232,659","477,603"
Sep-16,"689,893","235,547","454,346"
Oct-16,"711,751","242,424","469,327"
Nov-16,"696,300","236,710","459,590"
Dec-16,"716,538","253,633","462,905"
Jan-17,"745,469","230,274","515,195"
Feb-17,"681,675","216,105","465,569"
Mar-17,"760,846","242,229","518,617"
Apr-17,"742,062","229,675","512,387"
May-17,"769,255","235,248","534,007"
Jun-17,"740,095","234,027","506,068"
Jul-17,"760,624","220,443","540,181"
Aug-17,"761,382","234,446","526,935"
Sep-17,"736,276","230,562","505,713"
Oct-17,"759,760","239,655","520,105"
Nov-17,"739,596","240,077","499,519"
Dec-17,"771,574","247,524","524,050"
Jan-18,"785,660","229,683","555,976"
Feb-18,"721,539","212,244","509,295"
Mar-18,"802,381","237,377","565,004"
Apr-18,"773,719","223,174","550,545"
May-18,"802,170","231,004","571,166"
Jun-18,"774,659","222,558","552,101"
Jul-18,"778,090","218,153","559,936"
Aug-18,"773,622","235,222","538,400"
Sep-18,"743,579","225,026","518,553"
Oct-18,"758,775","240,857","517,919"
Nov-18,"735,546","240,176","495,370"
Dec-18,"769,014","237,132","531,882"
Jan-19,"782,361","234,302","548,059"
Feb-19,"711,084","214,748","496,337"
Mar-19,"789,767","227,381","562,386"
Apr-19,"766,512","230,478","536,035"
May-19,"787,102","234,874","552,229"
Jun-19,"759,191","211,056","548,136"
Jul-19,"775,664","221,424","554,239"
Aug-19,"779,355","225,684","553,672"
Sep-19,"756,083","223,607","532,476"
Oct-19,"775,748","242,274","533,474"
Nov-19,"748,373","231,450","516,923"
Dec-19,"779,213","236,223","542,989"
Jan-20,"791,677","235,618","556,059"
Feb-20,"746,028","211,410","534,618"
Mar-20,"800,901","248,802","552,099"
Apr-20,"746,271","232,935","513,336"
May-20,"770,407","225,241","545,166"
Jun-20,"759,657","220,960","538,696"
Jul-20,"787,978","226,602","561,376"
Aug-20,"792,532","216,786","575,745"
Sep-20,"768,803","226,349","542,454"
Oct-20,"789,639","236,443","553,197"
Nov-20,"770,726","232,544","538,182"
Dec-20,"806,498","247,091","559,406"
Jan-21,"813,631","224,256","589,375"
Feb-21,"733,243","212,399","520,845"
Mar-21,"810,282","238,700","571,582"
Apr-21,"786,181","220,768","565,413"
May-21,"810,347","221,242","589,105"
Jun-21,"789,832","213,532","576,299"
Jul-21,"815,331","208,993","606,338"
Aug-21,"807,644","216,523","591,121"
Sep-21,"774,264","222,974","551,290"
Oct-21,"789,249","223,239","566,010"
Nov-21,"760,978","230,883","530,094"
Dec-21,"775,290","237,383","537,908"
Jan-22,"789,246","223,328","565,917"
Feb-22,"718,551","208,100","510,451"
Mar-22,"794,679","231,044","563,635"
Apr-22,"782,117","216,915","565,202"
May-22,"817,892","217,480","600,412"
